,station_id,unleaded,super_unleaded,diesel,premium_diesel,station_unleaded_date,station_super_unleaded_date,station_diesel_date,station_premium_diesel_date
315,1244,,,141.9,,,,13.10.2021,
316,1263,,,,,,,,
317,1260,,,144.9,,,,13.10.2021,
318,1275,139.9,,143.9,,13.10.2021,,13.10.2021,
319,1267,141.9,,145.9,,13.10.2021,,13.10.2021,
320,4673,139.9,,143.9,,13.10.2021,,13.10.2021,
321,698,141.9,,,,13.10.2021,,,
322,703,,149.0,145.9,159.9,,10.10.2021,13.10.2021,13.10.2021
323,1293,140.9,,144.9,,13.10.2021,,13.10.2021,
324,1294,,,147.9,,,,13.10.2021,
325,11533,,,147.9,,,,13.10.2021,
326,1258,142.9,,144.9,,17.10.2021,,17.10.2021,
327,1277,135.7,,137.7,,17.10.2021,,16.10.2021,
328,1278,137.9,,142.9,154.9,13.10.2021,,14.10.2021,13.10.2021
329,1252,137.9,144.9,138.9,,13.10.2021,13.10.2021,13.10.2021,
330,1251,139.9,,142.9,,13.10.2021,,13.10.2021,
331,1262,141.9,,145.9,,13.10.2021,,13.10.2021,
332,1276,139.9,149.9,142.9,152.9,15.10.2021,09.10.2021,15.10.2021,09.10.2021
333,1297,139.9,,142.9,,17.10.2021,,17.10.2021,
334,1332,,140.9,,,,13.10.2021,,
335,1299,138.9,151.0,142.9,,18.10.2021,17.10.2021,18.10.2021,
336,12324,142.9,,144.9,,13.10.2021,,13.10.2021,
337,632,141.9,,142.9,,15.10.2021,,13.10.2021,
338,18334,133.9,140.9,135.9,,17.10.2021,17.10.2021,17.10.2021,
339,1879,137.9,153.9,144.9,,13.10.2021,13.10.2021,14.10.2021,
340,1300,138.9,,141.9,,13.10.2021,,18.10.2021,
341,700,139.9,,,,13.10.2021,,,
342,26263,133.7,,136.7,,13.10.2021,,13.10.2021,
343,76,,,,,,,,
344,77,139.9,,142.9,,13.10.2021,,14.10.2021,
345,79,139.9,,144.9,,13.10.2021,,13.10.2021,
346,89,139.9,153.9,142.9,156.9,13.10.2021,13.10.2021,14.10.2021,13.10.2021
347,17619,139.9,,143.9,153.9,14.10.2021,,14.10.2021,13.10.2021
348,66,141.9,,143.9,157.9,13.10.2021,,13.10.2021,13.10.2021
349,97,,142.9,145.9,,,14.10.2021,14.10.2021,
350,68,,143.9,149.9,,,13.10.2021,14.10.2021,
351,73,139.9,,144.9,165.9,13.10.2021,,13.10.2021,13.10.2021
352,1721,139.9,153.9,144.9,157.9,13.10.2021,13.10.2021,13.10.2021,13.10.2021
353,1722,139.9,,144.9,156.9,13.10.2021,,14.10.2021,13.10.2021
354,72,139.9,,144.9,,13.10.2021,,13.10.2021,
355,1877,136.6,,138.7,,13.10.2021,,13.10.2021,
356,96,143.9,,145.9,159.9,13.10.2021,,13.10.2021,13.10.2021
357,1333,140.8,,,,13.10.2021,,,
358,1336,,,,,,,,
359,1334,134.9,,137.9,,13.10.2021,,13.10.2021,
360,87,141.9,142.9,146.9,,12.10.2021,14.10.2021,14.10.2021,
361,86,141.9,156.9,145.9,,13.10.2021,13.10.2021,14.10.2021,
362,1878,140.9,,144.9,,13.10.2021,,13.10.2021,
363,85,139.0,,142.9,,13.10.2021,,13.10.2021,
364,1707,138.9,,143.9,155.9,16.10.2021,,16.10.2021,13.10.2021
365,1893,141.9,,144.9,,12.10.2021,,12.10.2021,
366,1703,138.9,,143.9,,13.10.2021,,13.10.2021,
367,1698,,,147.9,,,,12.10.2021,
368,1710,139.9,,143.9,155.9,13.10.2021,,14.10.2021,13.10.2021
369,1712,142.9,,144.9,158.9,16.10.2021,,16.10.2021,13.10.2021
