,name,station_id,station_location,CAR WASH,AIR & WATER,CAR VACUUM,24/7 OPENING HOURS,TOILET,CONVENIENCE STORE,ATM,PARKING FACILITIES,DISABLED TOILET/BABY CHANGE,ALCOHOL,WI-FI,HGV/PSV FUELING,FUELSERVICE,PAYPHONE,RESTAURANT,ELECTRIC CAR CHARGING,REPAIR GARAGE,SHOWER FACILITIES
116,SHELL CROYDON ROAD (RAVENSBOURNE SERVICE STATION),165,"CROYDON ROAD, BR2 8HU",,True,,,,,,,,,,,,,,,,
117,SHELL STATION APPROACH (PARK HAYES SERVICE STATION),1863,"STATION APPROACH, BR2 7EQ",,True,,,,True,True,,,,,,,,,,,
118,TEXACO FARNBOROUGH WAY (PARK FARNBOROUGH HILL SERVICE STATION),1087,"FARNBOROUGH WAY, BR6 7ET",True,,,,,,True,,,,,,,,,,,
119,UNBRANDED BROMLEY (W J KING GARAGES BROMLEY),1084,"BROMLEY COMMON, BR2 9RW",,True,,True,,True,,,,,,,,,,,,
120,BP COURT ROAD (GODDINGTON SF CONNECT),1096,"COURT ROAD, BR6 9DA",,True,,,True,True,True,,True,True,,,True,,True,,,
121,M25 CLACKET LANE CONNECT MOTORWAY SERVICE AREA WESTBOUND,10620,"M25 J5-6, TN16 2ER",,,,,,,,,,,,,,,,,,
122,BP CROFTON ROAD (ROSETTA SF CONNECT),164,"CROFTON ROAD, BR6 8NL",True,True,,,True,True,True,True,True,True,,,,,,,,
123,SHELL HIGH STREET (SHELL GREEN STREET),1089,"HIGH STREET, BR6 6BJ",True,True,True,,True,True,True,,,True,,,True,,,True,,
124,SHELL WEST WICKHAM (MFG WEST WICKHAM),169,"HIGH STREET, BR4 0LU",,,,,,,,,,,,,,,,,,
125,SHELL HASTINGS ROAD (SHELL BROMLEY),163,"HASTINGS ROAD, BR2 8NJ",,True,True,,True,,,,,,,,True,,,,,
126,UNBRANDED SEVENOAKS (KNOCKHOLT SERVICE STATION),1101,"MAIN ROAD, TN14 7JJ",,,,,,,,,,,,,,,,,,
127,BP HASTINGS ROAD (TUDOR AUTOS),162,"HASTINGS ROAD, BR2 8NA",True,,True,True,True,,True,,,,,,,,,,,
128,ESSO SEVENOAKS ROAD (RSS CHIMES),1097,"SEVENOAKS ROAD, BR6 7SE",,,,True,True,True,True,,,,,,,,True,,,
129,TEXACO SEVENOAKS ROAD (PARK ORPINGTON SERVICE STATION),1091,"SEVENOAKS ROAD, BR6 9JW",True,True,True,True,,True,,,,True,,,,,,,,
130,ESSO LINKS WAY (MFG EDEN PARK),168,"LINKS WAY, BR3 3DG",,,,,,True,,,,,,,,,,,,
131,ESSO BROMLEY (BROMLEY EXPRESS),2060,"WESTMORELAND ROAD, BR2 0UJ",True,True,,,,True,True,True,,True,,,,,,,,
132,SHELL QUEENSWAY (SHELL WAITROSE PETTS WOOD),1095,"QUEENSWAY, BR5 1DH",True,True,,,,True,,,,,,,,,,,,
133,TESCO SEVENOAKS RIVERHEAD,17726,"AISHER WAY, TN13 2QS",True,True,True,True,,True,,True,,,,,True,,,,,
134,SHELL LONDON ROAD (SHELL WAITROSE TUBS HILL),4615,"LONDON ROAD, TN13 1DH",,True,,,,True,,,,,,,,,,,,
135,SAINSBURYS SEVENOAKS,17552,"OTFORD ROAD, TN14 5EG",True,True,True,,,,True,,,,,,,,,,,
136,SHELL SEAL ROAD (MFG SEVENOAKS),252,"SEAL ROAD, TN14 5AX",,,,,,,,,,,,,,,,,,
137,TEXACO HIGH STREET (ORPINGTON POND SERVICE STATION),1092,"HIGH STREET, BR6 0JG",True,,,True,,,,True,,True,,,,True,,True,,
138,ESSO EDENBRIDGE (MFG CHAMPION),3289,"STATION ROAD, TN8 6HL",,True,,True,True,True,True,True,,True,,,True,,,,,
139,UNBRANDED SWANLEY (W J KING GARAGES SWANLEY),1066,"LONDON ROAD, BR8 7QD",,,,,,,,,,,,,,,,,,
140,GULF EDENBRIDGE (MILL HILL GARAGE),4627,"MILL HILL, TN8 5DQ",True,True,,,,True,,,,True,,,True,,,,True,
141,TESCO SIDCUP,1064,"EDGINGTON WAY, DA14 5BN",True,True,True,True,True,True,,True,,,,,,,,,,
142,BP SEVENOAKS (MFG ST JOHNS HILL),253,"ST JOHNS HILL, TN13 3NY",,,,,,,,,,,,,,,,,,
143,UNBRANDED EDENBRIDGE (FOUR ELMS FILLING STATION),7250,"FOUR ELMS ROAD, TN8 6NL",,,,,,,,,,,,,,,,,,
144,ESSO SEVENOAKS WAY (ST PAULS CRAY EXPRESS),1093,"SEVENOAKS WAY, BR5 3AQ",,,,,,,,,,,,,,,,,,
145,TEXACO CHIPPERFIELD ROAD (MFG ST PAULS CRAY),1094,"CHIPPERFIELD ROAD, BR5 2QR",,,,,,,,,,,,,,,,,,
146,CO-OP SWANLEY,1070,"HIGH STREET, BR8 8AF",True,True,,True,,True,True,True,,True,,,,,,,,
147,TEXACO WEST KINGSDOWN (PARK TWENTY MILE SERVICE STATION),8108,"LONDON ROAD, TN15 6ET",,,,,,,,,,,,,,,,,,
148,BP SWANLEY (SWANLEY SERVICE STATION),1067,"LONDON ROAD, BR8 7HA",True,,,,,True,,,,,,,,,,,,
149,UNBRANDED DARTFORD (W J KING GARAGES FARNINGHAM ROAD),11821,"DARTFORD ROAD, DA4 0DX",,,,,,,,,,,,,,,,,,
150,BP SWANLEY BYPASS (RSS SWANLEY),1073,"SWANLEY BYPASS, DA14 5JA",,,,,,,,,,,,,,,,,,
151,ESSO SEVENOAKS (MFG BRACKENHILL),3268,"MAIDSTONE ROAD, TN15 8HG",,True,,,,,True,,,,,,,,,,,
152,SHELL LONDON ROAD (SHELL PILGRIMS WAY),7245,"LONDON ROAD, TN15 7RR",,,,,,,,,,,,,,,,,,
