,name,station_id,station_location,lat,lng,unleaded,super_unleaded,diesel,premium_diesel,station_unleaded_date,station_super_unleaded_date,station_diesel_date,station_premium_diesel_date
106,SHELL GODSTONE HILL (SHELL GODSTONE),4435,"GODSTONE HILL, RH9 8AJ",51.254002,-0.0667746999999999,,,,,,,,
107,BP SOUTH CROYDON (ADDINGTON SF CONNECT),1120,"SELSDON PARK ROAD, CR2 8JH",51.3534224,-0.0377094,,,142.9,,,,14.10.2021,
108,SHELL PARKWAY (SHELL CROYDON),3669,"PARKWAY, CR0 0LA",51.346016,-0.0199154,,,,156.9,,,,13.10.2021
109,BP MITCHAM ROAD (MITCHAM ROAD SF CONNECT),1111,"MITCHAM ROAD, CR0 3RU",51.3788072,-0.1109563,139.9,,154,,13.10.2021,,18.10.2021,
110,ESSO LOWER ADDISCOMBE ROAD (ADDISCOMBE EXPRESS),1126,"LOWER ADDISCOMBE ROAD, CR0 6AD",51.37953090000001,-0.0836557,138.9,,139.9,,13.10.2021,,13.10.2021,
111,BP SHIRLEY ROAD (SHIRLEY SF CONNECT),1122,"SHIRLEY ROAD, CR0 8SS",51.3762152,-0.0591695,,,,,,,,
112,ESSO WICKHAM ROAD (WEST WICKHAM EXPRESS),1864,"WICKHAM ROAD, CR0 8DN",51.3767062,-0.0341851,136.9,144.9,141.9,154.9,13.10.2021,13.10.2021,13.10.2021,13.10.2021
113,M25 CLACKET LANE CONNECT MOTORWAY SERVICE AREA EASTBOUND,10619,"M25 J5-6, TN16 2ER",51.273321,0.038413,151.9,,156.9,167.9,17.10.2021,,17.10.2021,13.10.2021
114,SHELL LEAVES GREEN ROAD (TOLLGATE SERVICE STATION),1838,"LEAVES GREEN ROAD, BR2 6DQ",51.3404,0.030618,141.9,154.9,149.9,,18.10.2021,13.10.2021,18.10.2021,
115,BP LONDON ROAD (WESTERHAM SERVICE STATION),5657,"LONDON ROAD, TN16 2DJ",51.27403,0.07439,141.9,,147.9,,17.10.2021,,17.10.2021,
116,SHELL CROYDON ROAD (RAVENSBOURNE SERVICE STATION),165,"CROYDON ROAD, BR2 8HU",51.3671173,0.0385219,141.9,,148.9,,14.10.2021,,14.10.2021,
117,BP CROFTON ROAD (ROSETTA SF CONNECT),164,"CROFTON ROAD, BR6 8NL",51.3671353,0.0555378,139.9,,143.9,153.9,13.10.2021,,14.10.2021,13.10.2021
118,SHELL HIGH STREET (SHELL GREEN STREET),1089,"HIGH STREET, BR6 6BJ",51.3515577,0.0896348999999999,142.9,156.9,144.9,158.9,14.10.2021,14.10.2021,14.10.2021,14.10.2021
119,SHELL STATION APPROACH (PARK HAYES SERVICE STATION),1863,"STATION APPROACH, BR2 7EQ",51.37770930000001,0.0108801,147.9,,149.9,,14.10.2021,,14.10.2021,
120,TEXACO FARNBOROUGH WAY (PARK FARNBOROUGH HILL SERVICE STATION),1087,"FARNBOROUGH WAY, BR6 7ET",51.3584071,0.0846413999999999,147.9,,149.9,,17.10.2021,,17.10.2021,
121,SHELL HASTINGS ROAD (SHELL BROMLEY),163,"HASTINGS ROAD, BR2 8NJ",51.374545,0.0445857,144.9,,149.9,,18.10.2021,,18.10.2021,
122,BP HASTINGS ROAD (TUDOR AUTOS),162,"HASTINGS ROAD, BR2 8NA",51.3775183,0.0437722,147.9,147.9,147.9,,17.10.2021,13.10.2021,17.10.2021,
123,ESSO SEVENOAKS ROAD (RSS CHIMES),1097,"SEVENOAKS ROAD, BR6 7SE",51.3450376,0.1117552,140.9,139.9,144.9,157.9,17.10.2021,14.10.2021,17.10.2021,13.10.2021
124,TEXACO SEVENOAKS ROAD (PARK ORPINGTON SERVICE STATION),1091,"SEVENOAKS ROAD, BR6 9JW",51.3668092,0.0953579,147.9,,149.9,,14.10.2021,,14.10.2021,
125,ESSO LINKS WAY (MFG EDEN PARK),168,"LINKS WAY, BR3 3DG",51.3889723,-0.025684,139.9,139.9,145.9,165.9,18.10.2021,14.10.2021,18.10.2021,13.10.2021
126,ESSO BROMLEY (BROMLEY EXPRESS),2060,"WESTMORELAND ROAD, BR2 0UJ",51.3925385,0.0024386,137.9,,141.9,,13.10.2021,,13.10.2021,
127,UNBRANDED BROMLEY (W J KING GARAGES BROMLEY),1084,"BROMLEY COMMON, BR2 9RW",51.39230209999999,0.0320133,143.9,,145.9,,13.10.2021,,13.10.2021,
128,BP COURT ROAD (GODDINGTON SF CONNECT),1096,"COURT ROAD, BR6 9DA",51.36425,0.1109,140.9,,144.9,,15.10.2021,,15.10.2021,
129,M25 CLACKET LANE CONNECT MOTORWAY SERVICE AREA WESTBOUND,10620,"M25 J5-6, TN16 2ER",51.273321,0.038413,,164.9,155.9,,,13.10.2021,14.10.2021,
130,SHELL WEST WICKHAM (MFG WEST WICKHAM),169,"HIGH STREET, BR4 0LU",51.377073,-0.022414,,,143.9,165.9,,,13.10.2021,13.10.2021
131,UNBRANDED SEVENOAKS (KNOCKHOLT SERVICE STATION),1101,"MAIN ROAD, TN14 7JJ",51.3169648,0.1257035,,,,,,,,
132,SHELL QUEENSWAY (SHELL WAITROSE PETTS WOOD),1095,"QUEENSWAY, BR5 1DH",51.3876405,0.0744726,,,141.9,154.9,,,13.10.2021,13.10.2021
133,TESCO SEVENOAKS RIVERHEAD,17726,"AISHER WAY, TN13 2QS",51.2886823,0.1669778,137.9,143.9,139.9,,14.10.2021,13.10.2021,14.10.2021,
